,x
728,0.767780634
729,0.776349614
730,0.763496144
731,0.749785775
732,0.766923736
733,0.749785775
734,0.738646101
735,0.763496144
736,0.745501285
737,0.740359897
738,0.746358183
739,0.738646101
740,0.734361611
741,0.720651243
742,0.716366752
743,0.716366752
744,0.748071979
745,0.734361611
746,0.721508141
747,0.77377892
748,0.707797772
749,0.635818338
750,0.63496144
751,0.615252785
752,0.603256213
753,0.610968295
754,0.597257926
755,0.57412168
756,0.589545844
757,0.572407883
758,0.551842331
759,0.570694087
760,0.559554413
761,0.54327335
762,0.550985433
763,0.544987147
764,0.52613539
765,0.542416452
766,0.53041988
767,0.513281919
768,0.522707798
769,0.510711225
770,0.490145673
771,0.504712939
772,0.493573265
773,0.471293916
774,0.491002571
775,0.433590403
776,0.29562982
777,0.525278492
778,1.031705227
779,1.544987147
780,1.222793488
781,0.917737789
782,0.649528706
783,0.526992288
784,0.425021422
785,0.353898886
786,0.335904027
787,0.321336761
788,0.287917738
789,0.294772922
790,0.288774636
791,0.263067695
792,0.269922879
793,0.260497001
794,0.233076264
795,0.249357326
796,0.252784919
797,0.233076264
798,0.24764353
799,0.24764353
800,0.232219366
801,0.241645244
802,0.257069409
803,0.237360754
804,0.241645244
805,0.233933162
806,0.203084833
807,0.209940017
808,0.214224507
809,0.201371037
810,0.207369323
811,0.22193659
812,0.198800343
813,0.246786632
814,0.257926307
815,0.242502142
816,0.280205656
817,0.316195373
818,0.324764353
819,0.333333333
